id,cluster,correct cluster,correct
00003.png,3,,
00005.png,11,,
00010.png,9,,
00011.png,3,,
00015.png,2,,
00016.png,3,,
00020.png,3,,
00022.png,3,,
00028.png,3,,
00032.png,11,,
00033.png,3,,
00035.png,3,,
00039.png,3,,
00041.png,3,,
00043.png,11,,
01003.png,4,,
01005.png,2,,
01006.png,2,,
01007.png,2,,
01011.png,2,,
01012.png,2,,
01017.png,18,,
01018.png,18,,
01023.png,2,,
01024.png,18,,
01027.png,18,,
01029.png,18,,
01031.png,13,,
01034.png,7,,
01039.png,2,,
01040.png,2,,
01044.png,4,,
01045.png,13,,
01046.png,2,,
02004.png,6,,
02008.png,6,,
02009.png,14,,
02017.png,6,,
02020.png,6,,
02021.png,4,,
02024.png,10,,
02028.png,6,,
02029.png,4,,
02030.png,14,,
02031.png,14,,
02034.png,14,,
02036.png,14,,
03004.png,5,,
03009.png,17,,
03013.png,5,,
03015.png,5,,
03016.png,4,,
03018.png,13,,
03019.png,5,,
03021.png,17,,
03025.png,4,,
03026.png,11,,
03028.png,5,,
03030.png,3,,
03032.png,3,,
03035.png,16,,
03044.png,9,,
03045.png,5,,
04005.png,10,,
04008.png,10,,
04010.png,10,,
04014.png,10,,
04027.png,10,,
05003.png,9,,
05004.png,9,,
05006.png,9,,
05007.png,9,,
05011.png,5,,
05014.png,9,,
05018.png,9,,
05019.png,9,,
05021.png,9,,
05022.png,5,,
05026.png,5,,
05030.png,5,,
05035.png,5,,
05037.png,9,,
05042.png,9,,
05047.png,9,,
05048.png,9,,
06001.png,9,,
06006.png,11,,
06007.png,9,,
06011.png,11,,
06014.png,4,,
06015.png,11,,
06019.png,3,,
06021.png,11,,
06022.png,3,,
06023.png,4,,
06025.png,9,,
06030.png,3,,
07001.png,4,,
07002.png,14,,
07004.png,4,,
07006.png,4,,
07008.png,4,,
07010.png,6,,
07011.png,4,,
07012.png,4,,
07020.png,6,,
07021.png,6,,
07022.png,6,,
07023.png,4,,
07025.png,6,,
07029.png,6,,
07030.png,6,,
07032.png,14,,
08001.png,3,,
08008.png,8,,
08014.png,3,,
08021.png,8,,
08024.png,9,,
08027.png,14,,
08034.png,8,,
08037.png,8,,
08040.png,2,,
08041.png,8,,
09003.png,5,,
09013.png,13,,
09015.png,13,,
09018.png,13,,
09023.png,11,,
09024.png,13,,
10001.png,4,,
10004.png,4,,
10007.png,3,,
10009.png,3,,
10010.png,3,,
10012.png,3,,
10015.png,4,,
10017.png,14,,
10019.png,4,,
10020.png,4,,
11001.png,1,,
11002.png,4,,
11004.png,9,,
11005.png,4,,
12001.png,4,,
12003.png,2,,
12013.png,11,,
12017.png,12,,
12018.png,12,,
13005.png,9,,
13006.png,9,,
14005.png,16,,
14008.png,16,,
14009.png,16,,
15003.png,0,,
15005.png,0,,
15007.png,0,,
15009.png,0,,
15011.png,0,,
15014.png,0,,
15015.png,0,,
16011.png,6,,
16015.png,6,,
16017.png,6,,
16022.png,6,,
16025.png,10,,
16026.png,10,,
16029.png,4,,
16031.png,6,,
16036.png,9,,
16046.png,6,,
16047.png,10,,
17001.png,4,,
17005.png,10,,
17007.png,1,,
17011.png,1,,
17013.png,1,,
17023.png,10,,
17026.png,10,,
17027.png,10,,
17030.png,14,,
17031.png,1,,
17032.png,10,,
17035.png,4,,
17037.png,4,,
17039.png,3,,
18002.png,1,,
18003.png,1,,
18004.png,1,,
18005.png,1,,
18008.png,1,,
18015.png,1,,
18020.png,1,,
18022.png,1,,
18024.png,3,,
18027.png,1,,
18033.png,1,,
19001.png,12,,
19005.png,12,,
19008.png,15,,
19010.png,15,,
